free_text,label_id,dataset
"""ra_dáng đàn_ông con_trai nữa hả trời một lũ súc_vật đồng hường yên bái toàn_cảnh news mọi người cho hỏi xh có công_bằng luật_pháp đâu mà để côn_đồ lộng_hành như thế này đất nhà mình bằng thật tranh_chấp mà doanh_nghiệp bình mình một doanh_nghiệp thối_nát lợi_dụng gđ neo người mà hành_hung phụ_nữ bà_già có đẹp_mặt hơn trục lái_xe lái máy ức_hiếp phụ_nữ ông bà_già có đáng chúng_mày sẽ chết hết với luật_pháp mong đời lại công_bằng cho gđ và mọi người cùng cảnh_ngộ các ace bb xem xong chia_sẻ dùm cảm_ơn nguồn lê_hải tp lào cai""",0,vlsp
em tưởng giải thưởng là 10kg khô lá chanh vị gà chứ,0,vihsd
như,1,vihsd
"""có card vmin nè má uiiiiiiii tvt đợt này mà đi là phải mua cái này tt mỹ hạnhh jimin nụ cười mang tên jiminie good tour jimin speak yourself xinh lắm luôn nè chùi ui tvt speakyourself roselynjoy_g parkjimin  jimin  btsjimin """,0,vlsp
may mấy ông không đến tận chương trình ngta hò :)))))),0,vihsd
"""tuyệt_vời rất hay bà_con nhớ xem nha_tks www_tcdy us hoặc để xin việc_làm www_vnch com phan thi thao shared live video dong_ta hãy cùng nhau ủng_hộ tổng_thống đào_minh quân cpqgvnlt đệ tam_vnch trưng_cầu dân xoá_bỏ hình_ảnh ma_quái hcm""",0,vlsp
"""cá sặc trứng nắng là loại cá sặc ôm trứng được phơi qua nắng có phần thịt dai ngon nhiều người thịt vị_béo của trứng_cá và hương_vị đặc_trưng của vùng sông_nước chế_biến nhiều món nướng mọi hoặc nướng chấm muối ớt trên lửa than tới khi dậy_mùi thơm gỏi xoài trộn dưa_leo gỏi đu_đủ xanh kho_tộ kí green doan""",0,vlsp
chị ba sang quá à...đi hửi quần xì của con les,2,vihsd
anh duy sao kì quá z m,0,vihsd
"cương đặng m chắc là dân miền ngoài r mở miệng là thịt chó , chúng m đeo có tình thương động vật",2,vihsd
"""đời đổi_thay shared link to the group bất_động_sản đà_nẵng""",0,vlsp
tự tử bằng quần treo lên ...cửa sổ còn được nữa là ! nơi tạm giam của can vn nó ma mị kinh dị lắm !,0,vihsd
tao có ngiu hồi nào mà tao hỏng biết lun :))),0,vihsd
mui chi co xua kg chi,0,vihsd
hay quá,0,vihsd
cái j nó nhổng lên v abe,0,vihsd
xin vd vs ạ,0,vihsd
tô phước sang ai xin thì add rồi ib t,0,vihsd
"""tuấn nguyễn_to the group siêu_thị online nghệ_an hà_tĩnh tuấn tuyển_tập sảnh tiến lh tr tr tr tr tr tr tr tr tr tr tr tr""",0,vlsp
"""nếu để ghét thôi_thì để thương trọn kiếp đời_thường sống để yêu nhau""",0,vlsp
team thiếu thầy là ko đc :)),0,vihsd
"""vú hình bậc thang lun gê vl""",1,vlsp
nhìn del hỉu j luôn,1,vihsd
"""chán bọn tàu vl""",0,vlsp
"""đã mua bộ ỷong đó có bộ này quá hài_lòng lun shop cho mình hỏi chất tencel này có bán_lẻ lẻ chăn ga gối""",0,vlsp
nộp hồ sơ ở đâu thế nhỉ,0,vihsd
cơn gió vàng trong làng chém gió,0,vihsd
hợp lý anh ưi :'),0,vihsd
"ở minh bi đc vao vien khám , con ở bọn nc thấy bao la phat triẻn thi ve nha tự cách ly",0,vihsd
có cái tàu xấu xấu bẩn bẩn k đk thử nghiệm mà nhặng cả lên =))),0,vihsd
,0,vihsd
"""nga le thế_giới di_động sơn_dương tháng hot_hot không_thể hot hơn chương_trình độc_quyền giảm sốc một_số model nokia từ chỉ còn vivo yc từ chỉ còn huawei pro từ chỉ còn nokia plus từ chỉ còn samsung galaxy từ chỉ còn samsung galaxy note từ chỉ còn đến ngay thế_giới di_động số nhà quyết_thắng sơn_dương nhận ngay ưu_đãi độc_quyền chỉ có tại siêu_thị""",0,vlsp
"""đv thuyển""",0,vlsp
ok tùng,0,vihsd
"""sau hai năm xuka đã có chút nữ_tính""",0,vlsp
"""mất đệm_kích_thước mxm dày cm vcl bố cu khải chill""",0,vlsp
đẹp đội hình,0,vihsd
"""triệu""",0,vlsp
nhìn quả sena giật mình vcl,0,vihsd
"""tâm_sự của khách_hàng muộn con thinh kinh dòng của mebin đấy nha tháng bạn có bầu_nha hnay báo tin_vui cho mebin yêu quá cơ khách khu_đông tảo tườngvi đặng""",0,vlsp
nguyễn nhung cân nhắc công việc mới nè,0,vihsd
sống chậm lại nha mấy má,0,vihsd
"""bán đất khu_phố tân_định cách chợ bến lớn gần cty sara giá sập sàn xx_triệu lê_minh đức tình nguyễn_at ngã ba thị_trấn diễn châu""",0,vlsp
"""nguyễn_long phụng cmt để thành fan cứng haha""",0,vlsp
"""jeas rách nhẹ sz thương phan""",0,vlsp
ninh trần idol của em ~ cũng from mixi with love à :v,0,vihsd
"""thấp hơn hay cao hơn các nước không quan_trọng bằng mức thu_nhập của người dân mình còn nhiều người nghèo_khổ các ông nói tăng là tăng chỉ khổ người nghèo""",0,vlsp
vl ;)),1,vihsd
"""nhật trường hahak đẹp vl lun""",0,vlsp
thương hoàng like trang này ngay để chúng ta cùng bàn luận kaka,0,vihsd
sao idol toi lại lạc vô đây nhỉ ???,0,vihsd
"tiếp đó sinh viên này đã xưng hô không chuẩn mực trên facebook khi gọi giám đốc là anh, xưng tôi. không chuẩn mực chỗ nào nhề",0,vihsd
chú độ buoi to như lõi giấy vệ sinh,0,vihsd
- không biết gì sao làm bọ chưởng ?,2,vihsd
tối nay shop acc thầy ba sẽ có nhiều acc hơn để chúng ta mua :)),0,vihsd
e muốn chơi pubg mà k có acc. anh chị nào giúp e với,0,vihsd
"""như quỳnh mấy nay láo_vl hic""",0,vlsp
cô dễ thương quá cô ơi. ai lớp du chu cà mo,0,vihsd
"""suốt ngày được tặng nhạc thế này thì ngại quá yêu hải ngố của em nhất đời lunnnn kiều ngọc_tú ngô_bá hai việt mix hồng nhan_bạc phận tặng em yêu_tú kiềuuu của anh mr khá hải bài được tặng fb""",0,vlsp
mẹ cái thằng não chó.... dân ta nghèo mới mới làm vậy! địt mẹ mày biết cái lồn gì mà phán? pape ngày càng xàm lồn,2,vihsd
chậm thôi các ông...,0,vihsd
độ học giỏi,0,vihsd
xin lỗi thầy,0,vihsd
"""dag ngáo và ăn_kẹo mút nhưng mk thấy đó là nụ cười rạng_rỡ vl""",0,vlsp
"kính gửi barack ,ngài nên học cách sống đế vương như bọn anh đây.. khaaaaaa. khaaaa",2,vihsd
"nguyễn anh phước t chửn bị nửa lít axit, chặt 1 cái t tạt dô tay liềnnnn",0,vihsd
mới học về bay vô xem,0,vihsd
ủa có họ hàng gì đâu,0,vihsd
"""mắt em buồn có lỗi của anh không ngô_đồng""",0,vlsp
ý nghĩa,0,vihsd
huy engraving xin video bạn đẹp trai ơi,0,vihsd
"""lần thứ mình thức dậy vào lúc sáng và bước ra đường sg với những cuộc hẹn quan_trọng nhưng hôm_nay thì không nguyễn_thị hồng_nguyên alone""",0,vlsp
"""trịnh_xuân phong chất vl""",0,vlsp
"""chuc ly trường mầm_non ngôi_sao nhỏ hùng vương tạm_biệt trường mẫu_giáo góc kỉ_niệm""",0,vlsp
"""mẫu xuông polo này lại order đủ màu nhé mặc mát mà đơn_giản order ng_ng tuấn đức""",0,vlsp
"""anhnguyễn nguyễnanh""",0,vlsp
"""size loan ninh tâm tép hạnh hạnh""",0,vlsp
"con này nó rảnh, nói gì kệ nó",0,vihsd
nimo thông báo thế này mn ạ,0,vihsd
lol này cây vô đầu nó mới sợ :),0,vihsd
chị hay lắm à nha,0,vihsd
đi đường quyền hôn:)),0,vihsd
chốt này thông mới đã nè,0,vihsd
năm nào cũng thế cứ bảo bỏ xong lại tập diễn ý. dù mong năm nào cũng giữ táo quân nhưng mà cứ nthe mãi thành nhàm ko,0,vihsd
"thần quyền môn súng bắn.không trúng,  dao chém ko chết. nhưng cây đập là tèo",0,vihsd
"doanh nghiệp nó sai thì nó bị phạt, còn thằng này thích tống tiền doanh nghiệp thì nó cũng đéo đúng đâu mà gào mồm ăn vạ :)) tưởng ăn đc tiền của ngkhác dễ à",1,vihsd
"""năm high rồi yến ngọc học_viện tài_chính academy of finance hvtc af thoikhoabieu thông_báo thời khóa biểu học_kỳ năm_học link chi_tiết nguồn ảnh humans of aof cộng_đồng sinh_viên học_viện tài_chính kết_nối học_hỏi chia_sẻ fanpage chính_thức học_viện tài_chính academy of finance luôn đồng_hành cùng sinh_viên hvtc ht""",0,vlsp
"""suri ben huỳnh trần""",0,vlsp
"""nguyễn_quang kim_cương mà cậu sáng gọi kim_cương""",0,vlsp
thấy ông lên nói chuyện mừng quá.từ đợt dịch bùng phát cứ tưởng ông ẳng rùi,0,vihsd
không hiểu sao chứ nhìn chỗ này thấy cute vcl,0,vihsd
cường mày có hiểu không ?!,0,vihsd
"""phanh phanhh écccc""",0,vlsp
nhưng mà em say xe,0,vihsd
địt mẹ m óc cức lắm...đm cho cũng chửi đéo cho cũng chửi...đm.tay nhanh hơn não à...đéo đc bố mẹ cho đi học à...thua con chó,2,vihsd
thái dương nguyễn là sao bạn,0,vihsd
,0,vihsd
"muốn có 1 mv dc công chúng hưởng ứng, thường xuyên dùng thì tui thấy bài này ko dc dùng rộng rãi cho lắm. nhạc nghe hay nhưng lời ko bắt tai để nghe nhiều và hát theo . lời lần này hơi cao, ko có sức hút, ko dùng đại trà cho mọi ng hát theo dc. mv mới lần này ổn chứ ko phải là hấp dẫn đến kiểu gì",0,vihsd
cuối cùng thầy cũng chịu mua áo mới,0,vihsd
"""nắng đã có mũ mưa đã có bạn thân có bồ còn mình đéo có ai""",0,vlsp
bi thuốc lào quê mà làm a tôi ra nông nỗi này :)),0,vihsd
đây nữa nè ađ kkkk,0,vihsd
thầy ơi cấp em học bổng,0,vihsd
"fake thì cũng là giày , còn hơn đi chân đất , fake thì sao? , hồ bao của mỗi người khác nhau mà , có giày đi là may hơn mấy ông ko có rồi vào đây gáy rồi",0,vihsd
"""ls linh sún mạc mát zời nhưng quán vẫn bán hàng bình_thường nhé""",0,vlsp
xuất sắc luôn =)) đúng là cô của em =))),0,vihsd
"""khó vl""",0,vlsp
lẽ ra phải cho dân diễn tập chống khủng bố trung quốc có lý hơn.,0,vihsd
"""chiếu mây muji hình_ảnh có ghi rõ mặt trước và sau có hàng nhái kém chất_lượng nên cả nhà lưu nhé mua chiếu tặng vỏ gối nha mua được giá bộ bộ tuyển ctv sỉ chiếu mây muji hàng chính hãng được làm_bằng mặt mặt trước là sợi mây đan cao_cấp xen_lẫn nhau còn mặt sau là lớp lụa cao_cấp chiếu nhà có_thể nằm được cả mặt luôn nghen mọi người home gia_dụng thông_minh""",0,vlsp
giống abe,0,vihsd
"""hoàng thanh_tuấn posted an item for sale nguyễn_thị_ngọc and bùi_dung""",0,vlsp
đây,0,vihsd
đức dũng xe m mà ăn con đinh này nhờ =))),0,vihsd
lai nha kkk,0,vihsd
nguyễn tiến đạt hình như bạn tôi fan đội này :>,0,vihsd
đc anh ouw,0,vihsd
nghe rất ba rọi nhưng rất mixi =)),0,vihsd
"""vl add""",0,vlsp
cô nói chuyện thật thà mà dễ thương quá bởi v không có gì khó hiểu khi có rất nhiều người thích cô,0,vihsd
"""anh the pham mặn vl""",0,vlsp
"""nổ bật_lửa""",0,vlsp
cang ngay cang ghet tui thp,2,vihsd
lâm quốc huy chấp mày đi nước cờ đầu tiên,0,vihsd
cái bình chữa cháy này chưa đạt chuẩn :v chứ nếu chuẩn thì oto ko cháy nhanh thế đâu,0,vihsd
ok a ui,0,vihsd
làm nhớ lại el matador,0,vihsd
bông xù tầm hồn :))),0,vihsd
nhìn là muốn thông đít anh ba ghê dị á kkkk,0,vihsd
"""khánh băng thèm vl""",0,vlsp
đóng cửa biên giới đi.,0,vihsd
ko biết hiệu quả ko,0,vihsd
nguyên xuân gớt nước mắt,0,vihsd
nắng hay mưa thì chúng nó cũng vào nhà nghỉ thôi,0,vihsd
"""vũ_cảnh nghe nghiện trình_bày""",0,vlsp
"""đơn_giản mà vui""",0,vlsp
"""trần_dương lê_hồng hạnh ngô_phương hồng nguyễn_hồng tiến""",0,vlsp
"""pass kem body và kem chống nắng đại_lý nguyen_binh vào nhân nhận đơn giao khách nhé""",0,vlsp
m cầm đầu đi ad,0,vihsd
ớ,0,vihsd
"""vui vl luôn""",0,vlsp
nút này dc làm từ vàng hả ae :v,0,vihsd
nơi chú có nắng nơi cháu thì k :))) mùng 2/9 đón mưa bão chú ưi :))),0,vihsd
"""nguyễn_thị_thảo hân nói đó tại hổm nói qua lễ có thưởng rủ qua chơi mà nay chưa nghe gì ráo đúng nguyễn_kim phụng""",0,vlsp
tiên tri vũ trụ đệ nhất quốc sư mà sun vòi thì nước mỹ nguy to rồi !,0,vihsd
"ngày đó, ngày đó sẽ không còn xa xôi....",0,vihsd
"""khảo_sát lúc sáng nay giá vàng miếng sjc tại công_ty_tnhh mtv vàng_bạc đá_quý sài_gòn sjc đang niêm_yết mức_triệu đồng lượng tăng nghìn đồng lượng cả hai chiều mua vào và bán ra so với giá khảo_sát sáng qua giá vàng sjc tăng trở_lại giá vàng trong nước sáng nay được điều_chỉnh tăng trở_lại theo đà chung của giá kim_loại quý trên thị_trường thế_giới ảnh minh_họa khảo_sát lúc sáng nay giá vàng miếng sjc tại công_ty_tnhh mtv vàng_bạc đá_quý sài_gòn sjc""",0,vlsp
thầy giáo lu vcl thấy giáo lu =))),0,vihsd
"""ông nào lên_tiếng nhượng lại cho ông đi bán vé_số để ghế lại cho người khác cơ_hội nói ngu như chó""",2,vlsp
đời là thế thôi,0,vihsd
"""đm cả đứa tag mới sợ vl""",1,vlsp
xem giọng cười mình lại chán đéo muốn nói,0,vihsd
"""cs dx mấy khi mai đổi tên tpm shop test loa chất vl""",0,vlsp
"""má cá_chiên ngon vl""",1,vlsp
"""mh nha""",0,vlsp
"""anh biển ngàn năm vẫn còn đó và dù ngàn năm vẫn mãi yêu anh xù_hiền_tỷ_tỷ loved""",0,vlsp
"""áo chấm bi đa_cảm""",0,vlsp
"""đừng nghe những gì chúng_nó nói mà hãy coi những gì chúng_nó làm sử mút khung hình_phạt sung vô ví xong""",0,vlsp
nói làm lồn gì để rồi bị chửi =)),1,vihsd
love you,0,vihsd
khi bạn thích cái quần đó quá mà nó bị chật kéo không lên,0,vihsd
chuyện bình thường của chũng loại thôi mà,0,vihsd
mua quần luôn đi,0,vihsd
"""cáu vl""",1,vlsp
ý thức như đb,1,vihsd
linh chi tôm cua ghe thui,0,vihsd
được lắm,0,vihsd
điz mé thanh niên,2,vihsd
"""đéo hiểu đi về lên fan cứng dỗi vl""",1,vlsp
nhan nay` de lam j nhi ?,0,vihsd
hi,0,vihsd
nghe có vẻ yếu sinh lý nhưng hóa ra a yếu cả toán cơ bản =)))),0,vihsd
"""uh cái cảm_giác là gánh nặng nó kinh_khủng vô_cùng""",0,vlsp
"""trần_văn_tú moá vl""",0,vlsp
"tăng tiền dịch vụ tăng hạn chế bớt cò , cong băng hơn xứng đáng khám dịch vụ . rẻ mà đi khám như đi ăn xin thì đ ăn thua",0,vihsd
"""có nha_màu cam đất""",0,vlsp
ik,0,vihsd
"""tìm bạn đồng_hành coffee cần tuyển bạn nữ phục_vụ quán cafe thời_gian làm theo ca hoặc cả ngày đều được lương khởi_điểm ưu cầu thực_ra thì chả cần gì ngoài chăm_chỉ trung_thực công_việc phụ pha_chế khi nào hết việc thì ngồi_chém gió check in làm thêm địa_điểm sau khách_sạn mường thanh ai có nhu_cầu hoặc bạn_bè cần đi làm thêm thì giớ thiệu giúp em với em cảm_ơn lh cường sđt""",0,vlsp
"""chợ tình làm_quen em_gái dân_tộc dao xinh nhất nhì chợ tình khâu vai gái bản các bạn xem video hãy chia_sẻ và đăng_kí kênh giúp mình nhé kênh fanpage""",0,vlsp
lữ văn thánh ông trẩu vc,2,vihsd
ý là mấy cái này biết rồi đó mà xem cừ muốn chết,0,vihsd
sống chậm thôi các học viên=)),0,vihsd
thộn,0,vihsd
"""không vì cái dớp nam mỹ nó đen vl""",0,vlsp
"""thu nguyễn_to the group chơ sinh_viên đh quy_nhơn thu ri về rồi nha khách ơi ri_da xanh miền tây cực ngonnnn cơm vàng cam_ráo dẻo béo lắm luôn nha mn kg bao đổi trả nha khách""",0,vlsp
"""ai giải giúp câu với hại não với bài này quá cho hỏi mấy hình tam_giác""",0,vlsp
"""sẽ làm thử""",0,vlsp
"""thanh_niên vk bị thuỷ_đậu thanh_niên ck con nhìn mà nản chiị tiít tùng thanh bùi""",0,vlsp
"""uyên nakun unicorn kid outfits summer ing hàng hè mới nhất dành cho bé yêu đang về dần rồi các mẹ nhé mời mẹ và bé yêu qua unicorn ngắm_đồ nha địa_chỉ shop số ngõ kim_đồng giáp bát hà_nội sdt shop viber zalo quanaotreem thoitrangbegai unicornkid""",0,vlsp
"""đại_ca lên_tiếng rồi đó nha""",0,vlsp
"""nhanh sơn shared live video to the group hội mua_bán biên hoà bi ba chia_sẻ nhận quà free sản_phẩm mới""",0,vlsp
"""khách xig gớm tít tít tít""",0,vlsp
dang chui con linh lai noi vo van j day doi chi chui day nhin xinh chac chui cung duoc ok,0,vihsd
"""vl bh mới chiếu""",0,vlsp
tạ đình sơn cùng ý kiến :((,0,vihsd
"""đặng_ngọc ngân kì này đưa ra giải quyệt muộn vl""",0,vlsp
ai thích võ thần súng bắn k thủng dao chặt k đứt. điểm danh nhé,0,vihsd
mày làm tao bối rối vl admin :)),0,vihsd
ở nhà nghe bé tí hát thành phố buồn.,0,vihsd
"""lạc_lạc mua đồ đôi di""",0,vlsp
"""bỏ ngay loại chồng này di""",0,vlsp
"""euro cuong vl thế""",0,vlsp
"""trong lúc đợi công_an can_thiệp clip thứ của hot_girl mỳ gõ xuất_hiện  """,0,vlsp
"nó niêm yết giá thế vào ăn lại còn kêu gì, chỉ nhắc nhở là chủ quan nên bảo khách đọc menu trước khi gọi, còn họ đọc mà vẫn mua thì là điều bình thường",0,vihsd
"""tạp_vụ rửa chén ch tối tr ăn ca tip""",0,vlsp
đi đâu cũng thấy mấy ông thuyết phục :v,0,vihsd
"""chợ nhỏ đường_ray tân hiệp""",0,vlsp
"""yên tân đi đi xe_đạp thân_thiện và sắp quay về thời_kì đồ đá""",0,vlsp
589952505,0,vihsd
ước gì trường công nghiệp cho nghỉ vô thời hạn mà vẫn qua môn nhỉ,0,vihsd
rất thuyết phục,0,vihsd
cuộc sống ở thiên đường,0,vihsd
yêu thầy,0,vihsd
"anh ba thật đẹp trai và sở hữu 1 bộ não cực kỳ thông minh và nhạy bén trong công việc. đó là anh ba tú, còn anh ba gà thì ko có",0,vihsd
"""phạm_thị_tuyết nhung định_mệnh ròi haha""",0,vlsp
nhìn cái bút của c em cũng biết c cũng đ phải dạng vừa :),0,vihsd
"""hye jung vcl""",0,vlsp
"""cây cột biển_báo chắc vl""",0,vlsp
